Reference, Value, Footprint, Datasheet
J1,CONN_01X26,Pin_Headers:Pin_Header_Straight_1x26,
J2,CONN_01X26,Pin_Headers:Pin_Header_Straight_1x26,
Button1,CONN_01X04,Aglets:PTSA-4,
JS1,CONN_01X05,Aglets:PTSA-5,
JS2,CONN_01X05,Aglets:PTSA-5,
UART1,CONN_01X04,Pin_Headers:Pin_Header_Straight_1x04,
I2C1,CONN_01X04,Pin_Headers:Pin_Header_Straight_1x04,
R4,330,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R5,330,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R6,330,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R1,330,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R2,330,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R3,330,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R7,330,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R8,330,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R17,4.7K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R13,4.7K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R9,4.7K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
Button2,CONN_01X04,Aglets:PTSA-4,
R18,4.7K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R14,4.7K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R10,4.7K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
Button3,CONN_01X04,Aglets:PTSA-4,
R19,4.7K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R15,4.7K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R11,4.7K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
Button7,CONN_01X04,Aglets:PTSA-4,
R29,4.7K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R26,4.7K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R23,4.7K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
Button4,CONN_01X04,Aglets:PTSA-4,
R20,4.7K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R16,4.7K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R12,4.7K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
Button5,CONN_01X04,Aglets:PTSA-4,
R27,4.7K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R24,4.7K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R21,4.7K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
Button6,CONN_01X04,Aglets:PTSA-4,
R28,4.7K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R25,4.7K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R22,4.7K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
Logo1,LOGO,Aglets:StMarySmall,
B1,HOLE,Aglets:MH-No6-3p5,
B3,HOLE,Aglets:MH-No6-3p5,
B4,HOLE,Aglets:MH-No6-3p5,
B2,HOLE,Aglets:MH-No6-3p5,
AnalogIO1,CONN_01X05,Aglets:PTSA-5,
LED0,CONN_01X06,Aglets:PTSA-6,
LED1,CONN_01X06,Aglets:PTSA-6,
Logo2,LOGO,Aglets:StMaryLarge,
T1,TP,Aglets:TP-TH,
T2,TP,Aglets:TP-TH,
T3,TP,Aglets:TP-TH,
T4,TP,Aglets:TP-TH,
